m	n	lambda	sq_lambda	C
0	1	3.0185870522432214	9.11186779197042	-0.08260741406739608
0	2	6.208792660420718	38.549106300094174	0.0030983319078049998
0	3	9.373054665924633	87.85415377041153	-0.00012713916724502842
0	4	12.5268202097819	156.92122456820022	5.3509713786219435e-06
0	5	15.675964319061883	245.7358573325013	-2.275613410305225e-07
0	6	18.822691977661993	354.29373328594113	9.728607656241121e-09
0	7	21.96800130543296	482.59308135550424	-4.1717747163358503e-10
0	8	25.112408025088826	630.6330368185456	1.7923381361051046e-11
0	9	28.256205094542914	798.4131263448729	-7.710354255518256e-13
0	10	31.39957115612888	985.9330687888006	3.319853339869674e-14
0	11	34.54262130383369	1193.192686540065	-1.4303690505483027e-15
0	12	37.68543301916872	1420.191861842252	6.16582698574756e-17
0	13	40.82806036933065	1666.930513521708	-2.6588849750676333e-18
0	14	43.970542227685605	1933.408583796683	1.1469319063899626e-19
0	15	47.112907259193314	2219.6260304133502	-4.948570686325658e-21
0	16	50.255177064216326	2525.5828217557346	2.1355344722997587e-22
0	17	53.397368228172084	2851.2789336950013	-9.217288956193372e-24
0	18	56.53949369685082	3196.7143474962336	3.978854470592122e-25
0	19	59.681563722730125	3561.8890483902965	-1.717758059911581e-26
0	20	62.82358653067647	3946.8030245773944	7.416648483746409e-28
0	21	65.96556879551598	4351.456266515951	-3.202500598394466e-29
0	22	69.10751599071662	4775.848766407154	1.3829347928162912e-30
0	23	72.24943264700605	5219.980517814263	-5.97229326707439e-32
0	24	75.39132254694645	5683.851515377717	2.5793135124438914e-33
0	25	78.53318887323168	6167.46175459868	-1.1140069690060882e-34
0	26	81.67503432306117	6670.81123167322	4.81160604322714e-36
0	27	84.81686119730304	7193.89994336257	-2.0783015457441643e-37
0	28	87.95867147071054	7736.727886892389	8.977215684615272e-39
0	29	91.10046684771814	8299.29505987219	-3.8778218503514616e-40
0	30	94.24224880716275	8881.60146023117	1.6751196652469416e-41
0	31	97.38401863841173	9483.647086166524	-7.236265175607251e-43
1	1	4.5319425098826445	20.538502912881402	-0.01886940338980317
1	2	7.7388959384835285	59.890510346676855	0.0007017227182939552
1	3	10.91065546626671	119.04240270357566	-2.8350678404296496e-05
1	4	14.06983507804049	197.96025912325865	1.1791224995295517e-06
1	5	17.222966962860955	296.6305910037999	-4.971015161993569e-08
1	6	20.37271758137495	415.04762165046395	2.1113521524430693e-09
1	7	23.52038469989171	553.2084964309	-9.00820702704426e-11
1	8	26.666676706776286	711.1116465837249	3.854761290819062e-12
1	9	29.812013337055788	888.7561392087922	-1.652873920986521e-13
1	10	32.956659189162636	1086.141384910618	7.0976795563887745e-15
1	11	36.10078936899077	1303.2669930642369	-3.051154333230004e-16
1	12	39.24452438937511	1540.1326945482576	1.3127179481664337e-17
1	13	42.38794991402298	1796.738297913721	-5.651440744676288e-19
1	14	45.5311285083963	2073.083663248098	2.4342772391042814e-20
1	15	48.67410693507301	2369.168685926923	-1.0489656476632229e-21
1	16	51.81692084780541	2684.9932861477314	4.5216858485035136e-23
1	17	54.959597905923246	3020.5574019807627	-1.9496752527229355e-24
1	18	58.10215989643064	3375.860984630393	8.408668121740579e-26
1	19	61.244624214116335	3750.903995128325	-3.627266493290122e-27
1	20	64.38700491541802	4145.686401978064	1.5649712366433027e-28
1	21	67.529313482708	4560.208179445849	-6.753012651994524e-30
1	22	70.67155938777924	4994.469306300408	2.9143691654544893e-31
